Nome,Cognome,DataNascita,LuogoNascita,CodiceFiscale,RagioneSociale,Indirizzo,Email,Email_2,Telefono,Telefono_2,PartitaIva,Documento,DataRichiesta,DataAmmissione,DataAnnulamento,Note,Tipologia
Nonna,Pina,1934-06-22,Carpi,87391872391,,via Ceppi 34,nonnamria@mail.it,,504-264-8541,,,97-9321992,2018-09-18,,,grande nonna maria,Ordinario
Osbourn,Maypole,1981-07-26,Lindi,23-101-1797,Skiba,5 Thackeray Center,omaypole1@craigslist.org,,480-202-6108,,,53-8853719,2018-01-11,2018-08-10,,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Ordinario
Arlyne,Chell,2002-01-07,Montgomery,86-156-9193,Thoughtsphere,18 Morning Court,achell2@gizmodo.com,,334-527-8126,,,20-3289288,2018-06-02,2018-06-28,,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",Ordinario
Ara,Dehm,1986-11-06,Shifang,77-243-5119,Kanoodle,7328 International Parkway,adehm3@un.org,,685-560-7233,,,51-9647266,2018-06-12,2018-01-18,,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Ordinario
Judah,Hodgins,2011-03-22,Salvador,95-648-7849,,42 Northview Lane,jhodgins4@senate.gov,,662-864-5078,,,24-6615707,2018-07-09,,,,Ordinario
Faustine,Ruskin,1967-07-25,Hamburg,55-559-0691,,4369 Sherman Junction,fruskin5@wired.com,,515-890-5863,,,72-7775591,2018-09-15,,,,Ordinario
Garv,Watt,1967-12-31,Mesa,02-559-5153,,120 Dennis Center,gwatt6@thetimes.co.uk,,602-710-4510,,,18-7585235,2018-07-01,,,,Ordinario
Felike,Rolley,1968-07-23,Wulong,92-769-1226,,13 Dapin Crossing,frolley7@hostgator.com,,506-762-0172,,,47-2276438,2018-03-24,,,,Ordinario
Ysabel,Dwerryhouse,1966-04-13,Bello,00-885-1450,,909 Lindbergh Park,ydwerryhouse8@nih.gov,ydwerryhouse8@dailymotion.com,887-220-2509,545-495-6377,,73-5469984,2018-05-25,,2018-04-16,,Ordinario
Anne,Shackle,1990-07-31,Havířov,92-662-6548,,6 Rockefeller Avenue,ashackle9@shinystat.com,ashackle9@economist.com,226-647-0260,125-103-5858,,99-2011411,2018-06-29,,2018-09-05,,Ordinario
